transaction_id,date,product_id,customer_id,region_id,units_sold,list_price,discount_pct,final_price,cost,revenue,profit
28,2024-10-06,34,66,R015,4,15.16,0.21,11.98,9.38,47.92,10.4
29,2024-05-13,3,55,R014,16,19.65,0.01,19.45,12.76,311.2,107.04
30,2024-09-23,7,40,R005,18,16.28,0.26,12.05,10.75,216.9,23.4
31,2024-10-02,45,129,R010,7,18.5,0.02,18.13,14.7,126.91,24.01
32,2024-02-22,13,153,R006,1,16.48,0.07,15.33,11.64,15.33,3.69
33,2024-01-14,45,34,R011,10,18.5,0.29,13.14,14.7,131.4,-15.6
34,2024-01-09,9,89,R006,19,18.15,0.15,15.43,12.03,293.17,64.6
35,2024-06-11,27,164,R012,2,13.96,0.16,11.73,9.51,23.46,4.44
36,2024-03-27,11,75,R013,13,7.57,0.17,6.28,4.11,81.64,28.21
37,2024-02-06,30,104,R014,18,14.28,0.16,12.0,8.79,216.0,57.78
38,2024-02-26,7,77,R003,2,16.28,0.03,15.79,10.75,31.58,10.08
39,2024-10-29,18,138,R012,17,16.55,0.15,14.07,12.72,239.19,22.95
40,2024-07-23,15,190,R014,20,2.9,0.11,2.58,1.86,51.6,14.4
41,2024-05-19,33,136,R010,16,16.43,0.17,13.64,9.57,218.24,65.12
42,2024-10-12,48,5,R003,20,15.4,0.13,13.4,11.45,268.0,39.0
43,2024-11-17,43,104,R014,12,8.28,0.26,6.13,6.51,73.56,-4.56
44,2024-02-20,3,139,R001,9,19.65,0.05,18.67,12.76,168.03,53.19
45,2024-10-24,36,190,R014,16,18.75,0.22,14.62,11.03,233.92,57.44
46,2024-09-09,14,18,R004,17,7.9,0.2,6.32,6.26,107.44,1.02
47,2024-01-02,15,135,R015,6,2.9,0.04,2.78,1.86,16.68,5.52
48,2024-04-10,12,196,R006,3,19.54,0.07,18.17,10.1,54.51,24.21
49,2024-03-07,40,173,R016,13,8.53,0.04,8.19,6.25,106.47,25.22
50,2024-09-14,31,142,R009,16,12.98,0.21,10.25,10.34,164.0,-1.44
51,2024-08-25,5,103,R001,18,11.96,0.13,10.41,9.07,187.38,24.12
52,2024-04-29,7,39,R009,10,16.28,0.29,11.56,10.75,115.6,8.1
53,2024-12-27,41,193,R016,18,14.9,0.15,12.66,10.84,227.88,32.76
54,2024-01-29,19,140,R011,12,9.36,0.09,8.52,5.52,102.24,36.0
55,2024-04-08,20,192,R009,8,13.18,0.04,12.65,7.9,101.2,38.0
56,2024-06-22,9,118,R009,14,18.15,0.01,17.97,12.03,251.58,83.16
57,2024-08-24,35,4,R010,15,2.26,0.1,2.03,1.21,30.45,12.3
58,2024-12-23,12,4,R010,14,19.54,0.28,14.07,10.1,196.98,55.58
59,2024-09-13,12,112,R010,17,19.54,0.23,15.05,10.1,255.85,84.15
60,2024-10-25,4,19,R014,16,5.3,0.22,4.13,2.71,66.08,22.72
61,2024-10-24,9,7,R001,13,18.15,0.13,15.79,12.03,205.27,48.88
62,2024-09-26,18,1,R009,20,16.55,0.26,12.25,12.72,245.0,-9.4
63,2024-07-31,3,157,R011,19,19.65,0.14,16.9,12.76,321.1,78.66
64,2024-11-07,20,153,R006,16,13.18,0.14,11.33,7.9,181.28,54.88
65,2024-08-17,5,113,R008,13,11.96,0.14,10.29,9.07,133.77,15.86
66,2024-05-28,35,21,R005,3,2.26,0.14,1.94,1.21,5.82,2.19
67,2024-08-13,28,17,R007,5,16.39,0.19,13.28,9.54,66.4,18.7
68,2024-03-16,41,76,R006,12,14.9,0.21,11.77,10.84,141.24,11.16
69,2024-03-17,44,79,R008,13,8.88,0.27,6.48,5.42,84.24,13.78
70,2024-02-08,34,71,R006,16,15.16,0.2,12.13,9.38,194.08,44.0
71,2024-03-11,43,84,R008,3,8.28,0.18,6.79,6.51,20.37,0.84
72,2024-12-01,6,105,R013,11,4.79,0.08,4.41,3.09,48.51,14.52
73,2024-09-24,15,113,R008,5,2.9,0.3,2.03,1.86,10.15,0.85
74,2024-09-25,39,117,R003,20,15.28,0.1,13.75,11.88,275.0,37.4
75,2024-10-29,48,23,R002,1,15.4,0.21,12.17,11.45,12.17,0.72
76,2024-02-17,8,175,R007,14,9.38,0.24,7.13,6.29,99.82,11.76
77,2024-01-02,12,21,R005,1,19.54,0.12,17.2,10.1,17.2,7.1
78,2024-06-01,8,60,R002,18,9.38,0.26,6.94,6.29,124.92,11.7
79,2024-05-18,34,14,R007,15,15.16,0.02,14.86,9.38,222.9,82.2
80,2024-09-14,16,8,R006,16,3.2,0.3,2.24,2.13,35.84,1.76
81,2024-04-11,4,161,R009,7,5.3,0.06,4.98,2.71,34.86,15.89
82,2024-07-17,16,109,R001,16,3.2,0.17,2.66,2.13,42.56,8.48
83,2024-03-20,32,187,R003,19,6.3,0.03,6.11,4.76,116.09,25.65
84,2024-01-30,15,68,R001,18,2.9,0.08,2.67,1.86,48.06,14.58
85,2024-06-18,49,90,R012,6,9.33,0.08,8.58,6.59,51.48,11.94
86,2024-05-10,40,22,R006,8,8.53,0.23,6.57,6.25,52.56,2.56
87,2024-03-04,22,30,R011,14,16.29,0.1,14.66,12.97,205.24,23.66
88,2024-10-06,27,81,R007,10,13.96,0.25,10.47,9.51,104.7,9.6
89,2024-01-07,4,104,R014,16,5.3,0.22,4.13,2.71,66.08,22.72
90,2024-07-21,14,193,R016,14,7.9,0.24,6.0,6.26,84.0,-3.64
91,2024-01-28,28,32,R009,7,16.39,0.24,12.46,9.54,87.22,20.44
92,2024-06-14,29,72,R010,11,9.26,0.01,9.17,6.9,100.87,24.97
93,2024-05-09,18,28,R013,1,16.55,0.13,14.4,12.72,14.4,1.68
94,2024-11-07,30,7,R001,10,14.28,0.07,13.28,8.79,132.8,44.9
95,2024-01-05,16,105,R013,1,3.2,0.28,2.3,2.13,2.3,0.17
96,2024-10-28,7,143,R015,6,16.28,0.3,11.4,10.75,68.4,3.9
97,2024-07-26,37,81,R007,3,7.55,0.27,5.51,4.08,16.53,4.29
98,2024-10-09,24,165,R013,4,13.61,0.17,11.3,9.85,45.2,5.8
99,2024-11-17,22,162,R006,9,16.29,0.09,14.82,12.97,133.38,16.65
100,2024-12-13,22,126,R002,6,16.29,0.17,13.52,12.97,81.12,3.3
101,2024-01-14,3,8,R006,19,19.65,0.28,14.15,12.76,268.85,26.41
102,2024-04-26,45,13,R011,10,18.5,0.27,13.5,14.7,135.0,-12.0
103,2024-06-06,5,97,R009,1,11.96,0.21,9.45,9.07,9.45,0.38
104,2024-06-22,23,78,R016,6,1.94,0.11,1.73,1.53,10.38,1.2
105,2024-09-10,46,44,R006,9,8.74,0.12,7.69,5.37,69.21,20.88
106,2024-06-17,20,70,R002,11,13.18,0.12,11.6,7.9,127.6,40.7
107,2024-01-04,25,76,R006,14,10.38,0.04,9.96,7.34,139.44,36.68
108,2024-11-12,44,12,R014,20,8.88,0.06,8.35,5.42,167.0,58.6
109,2024-06-25,44,39,R009,14,8.88,0.09,8.08,5.42,113.12,37.24
110,2024-04-24,16,185,R008,6,3.2,0.18,2.62,2.13,15.72,2.94
111,2024-04-21,3,93,R003,17,19.65,0.1,17.68,12.76,300.56,83.64
112,2024-03-13,15,144,R005,15,2.9,0.08,2.67,1.86,40.05,12.15
113,2024-12-02,22,169,R013,10,16.29,0.3,11.4,12.97,114.0,-15.7
114,2024-02-26,15,72,R010,1,2.9,0.15,2.46,1.86,2.46,0.6
115,2024-09-15,4,16,R007,17,5.3,0.27,3.87,2.71,65.79,19.72
116,2024-08-23,11,6,R009,13,7.57,0.29,5.37,4.11,69.81,16.38
117,2024-02-29,15,115,R007,8,2.9,0.06,2.73,1.86,21.84,6.96
118,2024-07-03,21,180,R013,10,7.75,0.17,6.43,5.48,64.3,9.5
119,2024-07-03,23,191,R015,5,1.94,0.23,1.49,1.53,7.45,-0.2
120,2024-10-23,32,178,R009,16,6.3,0.12,5.54,4.76,88.64,12.48
121,2024-02-09,31,46,R011,2,12.98,0.08,11.94,10.34,23.88,3.2
122,2024-02-19,4,162,R006,13,5.3,0.25,3.97,2.71,51.61,16.38
123,2024-11-09,39,98,R008,7,15.28,0.0,15.28,11.88,106.96,23.8
124,2024-08-03,9,109,R001,5,18.15,0.01,17.97,12.03,89.85,29.7
125,2024-02-07,9,38,R014,4,18.15,0.15,15.43,12.03,61.72,13.6
126,2024-06-25,21,62,R001,8,7.75,0.15,6.59,5.48,52.72,8.88
127,2024-12-11,24,154,R004,4,13.61,0.14,11.7,9.85,46.8,7.4
128,2024-12-02,7,1,R009,2,16.28,0.06,15.3,10.75,30.6,9.1
129,2024-10-24,18,21,R005,14,16.55,0.16,13.9,12.72,194.6,16.52
130,2024-12-15,43,57,R006,11,8.28,0.18,6.79,6.51,74.69,3.08
131,2024-11-12,48,77,R003,9,15.4,0.06,14.48,11.45,130.32,27.27
132,2024-07-25,46,152,R009,10,8.74,0.07,8.13,5.37,81.3,27.6
133,2024-07-18,23,91,R008,17,1.94,0.11,1.73,1.53,29.41,3.4
134,2024-06-09,36,153,R006,20,18.75,0.1,16.88,11.03,337.6,117.0
135,2024-06-19,29,28,R013,16,9.26,0.15,7.87,6.9,125.92,15.52
136,2024-09-26,19,7,R001,2,9.36,0.14,8.05,5.52,16.1,5.06
137,2024-08-20,15,137,R011,7,2.9,0.25,2.17,1.86,15.19,2.17
138,2024-05-10,7,194,R010,14,16.28,0.05,15.47,10.75,216.58,66.08
139,2024-02-10,39,121,R001,10,15.28,0.2,12.22,11.88,122.2,3.4
140,2024-12-05,46,119,R007,3,8.74,0.02,8.57,5.37,25.71,9.6
141,2024-06-25,11,84,R008,12,7.57,0.22,5.9,4.11,70.8,21.48
142,2024-02-26,44,16,R007,13,8.88,0.18,7.28,5.42,94.64,24.18
143,2024-07-03,39,16,R007,13,15.28,0.04,14.67,11.88,190.71,36.27
144,2024-09-22,28,153,R006,15,16.39,0.13,14.26,9.54,213.9,70.8
145,2024-11-23,46,73,R010,3,8.74,0.07,8.13,5.37,24.39,8.28
146,2024-09-26,32,76,R006,19,6.3,0.08,5.8,4.76,110.2,19.76
147,2024-03-26,3,73,R010,1,19.65,0.08,18.08,12.76,18.08,5.32
148,2024-07-07,39,35,R003,10,15.28,0.08,14.06,11.88,140.6,21.8
149,2024-09-24,21,129,R010,2,7.75,0.04,7.44,5.48,14.88,3.92
150,2024-04-04,31,126,R002,1,12.98,0.13,11.29,10.34,11.29,0.95
151,2024-02-08,42,84,R008,12,9.32,0.01,9.23,4.77,110.76,53.52
152,2024-12-15,14,60,R002,20,7.9,0.05,7.5,6.26,150.0,24.8
153,2024-11-03,12,119,R007,15,19.54,0.29,13.87,10.1,208.05,56.55
154,2024-03-31,15,44,R006,7,2.9,0.05,2.76,1.86,19.32,6.3
155,2024-09-15,42,199,R003,18,9.32,0.02,9.13,4.77,164.34,78.48
156,2024-10-23,36,8,R006,12,18.75,0.25,14.06,11.03,168.72,36.36
157,2024-06-30,31,184,R007,4,12.98,0.18,10.64,10.34,42.56,1.2
158,2024-06-25,18,62,R001,17,16.55,0.04,15.89,12.72,270.13,53.89
159,2024-05-08,50,50,R005,6,11.33,0.05,10.76,6.34,64.56,26.52
160,2024-03-13,26,131,R016,5,18.13,0.22,14.14,9.53,70.7,23.05
161,2024-06-04,48,99,R009,3,15.4,0.07,14.32,11.45,42.96,8.61
162,2024-09-03,47,24,R005,11,7.98,0.09,7.26,6.25,79.86,11.11
163,2024-08-18,4,160,R005,17,5.3,0.28,3.82,2.71,64.94,18.87
164,2024-06-28,31,106,R013,1,12.98,0.1,11.68,10.34,11.68,1.34
165,2024-06-07,18,105,R013,5,16.55,0.09,15.06,12.72,75.3,11.7
166,2024-05-26,21,113,R008,14,7.75,0.08,7.13,5.48,99.82,23.1
167,2024-12-04,17,181,R011,12,3.35,0.16,2.81,1.84,33.72,11.64
168,2024-10-13,19,16,R007,18,9.36,0.18,7.68,5.52,138.24,38.88
169,2024-05-12,38,107,R005,15,19.39,0.16,16.29,15.47,244.35,12.3
170,2024-09-29,12,107,R005,1,19.54,0.19,15.83,10.1,15.83,5.73
171,2024-08-31,20,120,R011,5,13.18,0.13,11.47,7.9,57.35,17.85
172,2024-10-30,40,120,R011,13,8.53,0.05,8.1,6.25,105.3,24.05
173,2024-07-08,27,99,R009,8,13.96,0.0,13.96,9.51,111.68,35.6
174,2024-11-30,9,187,R003,15,18.15,0.08,16.7,12.03,250.5,70.05
175,2024-08-24,15,154,R004,2,2.9,0.06,2.73,1.86,5.46,1.74
176,2024-07-28,15,183,R012,19,2.9,0.3,2.03,1.86,38.57,3.23
177,2024-11-12,11,156,R016,12,7.57,0.06,7.12,4.11,85.44,36.12
178,2024-08-04,7,140,R011,6,16.28,0.27,11.88,10.75,71.28,6.78
179,2024-03-27,22,177,R001,20,16.29,0.01,16.13,12.97,322.6,63.2
180,2024-08-17,3,128,R005,5,19.65,0.12,17.29,12.76,86.45,22.65
181,2024-05-02,2,68,R001,20,9.72,0.2,7.78,5.5,155.6,45.6
182,2024-08-15,7,158,R003,12,16.28,0.02,15.95,10.75,191.4,62.4
183,2024-11-07,40,134,R014,4,8.53,0.07,7.93,6.25,31.72,6.72
184,2024-12-16,7,119,R007,5,16.28,0.12,14.33,10.75,71.65,17.9
185,2024-10-20,8,105,R013,19,9.38,0.04,9.0,6.29,171.0,51.49
186,2024-08-12,39,111,R003,4,15.28,0.04,14.67,11.88,58.68,11.16
187,2024-11-07,34,141,R008,7,15.16,0.13,13.19,9.38,92.33,26.67
188,2024-11-08,9,68,R001,6,18.15,0.19,14.7,12.03,88.2,16.02
189,2024-04-04,3,38,R014,7,19.65,0.24,14.93,12.76,104.51,15.19
190,2024-10-13,1,112,R010,6,9.34,0.0,9.34,6.16,56.04,19.08
191,2024-04-30,33,85,R015,12,16.43,0.27,11.99,9.57,143.88,29.04
192,2024-02-07,50,157,R011,15,11.33,0.17,9.4,6.34,141.0,45.9
193,2024-10-01,23,87,R015,3,1.94,0.18,1.59,1.53,4.77,0.18
194,2024-09-18,16,199,R003,16,3.2,0.07,2.98,2.13,47.68,13.6
195,2024-06-01,43,70,R002,8,8.28,0.01,8.2,6.51,65.6,13.52
196,2024-08-05,44,167,R002,15,8.88,0.03,8.61,5.42,129.15,47.85
197,2024-09-05,18,2,R010,13,16.55,0.13,14.4,12.72,187.2,21.84
198,2024-01-18,41,24,R005,16,14.9,0.01,14.75,10.84,236.0,62.56
199,2024-10-31,20,115,R007,16,13.18,0.28,9.49,7.9,151.84,25.44
200,2024-01-14,42,12,R014,1,9.32,0.19,7.55,4.77,7.55,2.78
201,2024-01-01,50,119,R007,17,11.33,0.16,9.52,6.34,161.84,54.06
202,2024-07-31,36,132,R008,15,18.75,0.11,16.69,11.03,250.35,84.9
203,2024-04-05,36,174,R003,15,18.75,0.05,17.81,11.03,267.15,101.7
204,2024-05-12,38,138,R012,19,19.39,0.1,17.45,15.47,331.55,37.62
205,2024-06-15,38,51,R015,16,19.39,0.03,18.81,15.47,300.96,53.44
206,2024-02-08,9,69,R001,7,18.15,0.23,13.98,12.03,97.86,13.65
207,2024-04-19,3,147,R008,15,19.65,0.0,19.65,12.76,294.75,103.35
208,2024-05-04,26,188,R012,3,18.13,0.27,13.23,9.53,39.69,11.1
209,2024-12-28,14,45,R012,15,7.9,0.26,5.85,6.26,87.75,-6.15
210,2024-10-14,4,136,R010,8,5.3,0.26,3.92,2.71,31.36,9.68
211,2024-06-30,8,152,R009,19,9.38,0.08,8.63,6.29,163.97,44.46
212,2024-12-26,23,20,R013,18,1.94,0.12,1.71,1.53,30.78,3.24
213,2024-11-28,6,187,R003,14,4.79,0.28,3.45,3.09,48.3,5.04
214,2024-01-01,9,183,R012,15,18.15,0.1,16.34,12.03,245.1,64.65
215,2024-10-04,32,144,R005,6,6.3,0.3,4.41,4.76,26.46,-2.1
216,2024-04-24,33,112,R010,4,16.43,0.14,14.13,9.57,56.52,18.24
217,2024-02-10,44,85,R015,10,8.88,0.08,8.17,5.42,81.7,27.5
218,2024-04-01,13,8,R006,20,16.48,0.1,14.83,11.64,296.6,63.8
219,2024-02-10,23,116,R003,20,1.94,0.13,1.69,1.53,33.8,3.2
220,2024-01-30,28,42,R014,19,16.39,0.13,14.26,9.54,270.94,89.68
221,2024-11-29,32,68,R001,3,6.3,0.01,6.24,4.76,18.72,4.44
222,2024-04-10,31,9,R009,9,12.98,0.08,11.94,10.34,107.46,14.4
223,2024-10-15,46,55,R014,3,8.74,0.1,7.87,5.37,23.61,7.5
224,2024-11-07,48,200,R010,2,15.4,0.05,14.63,11.45,29.26,6.36
225,2024-07-17,15,166,R006,11,2.9,0.04,2.78,1.86,30.58,10.12
226,2024-08-14,41,73,R010,1,14.9,0.25,11.18,10.84,11.18,0.34
227,2024-09-10,32,133,R013,2,6.3,0.24,4.79,4.76,9.58,0.06
228,2024-10-19,17,151,R011,9,3.35,0.1,3.02,1.84,27.18,10.62
229,2024-09-08,41,131,R016,11,14.9,0.24,11.32,10.84,124.52,5.28
230,2024-09-30,49,127,R013,6,9.33,0.13,8.12,6.59,48.72,9.18
231,2024-02-04,30,52,R002,8,14.28,0.1,12.85,8.79,102.8,32.48
232,2024-09-28,20,77,R003,5,13.18,0.28,9.49,7.9,47.45,7.95
233,2024-05-06,16,70,R002,19,3.2,0.08,2.94,2.13,55.86,15.39
234,2024-04-05,19,142,R009,12,9.36,0.28,6.74,5.52,80.88,14.64
235,2024-06-28,44,91,R008,17,8.88,0.13,7.73,5.42,131.41,39.27
236,2024-10-25,16,83,R001,12,3.2,0.18,2.62,2.13,31.44,5.88
237,2024-07-28,43,192,R009,10,8.28,0.18,6.79,6.51,67.9,2.8
238,2024-01-01,38,76,R006,13,19.39,0.05,18.42,15.47,239.46,38.35
239,2024-04-13,42,30,R011,18,9.32,0.22,7.27,4.77,130.86,45.0
240,2024-06-16,17,125,R015,14,3.35,0.08,3.08,1.84,43.12,17.36
241,2024-06-13,2,133,R013,19,9.72,0.09,8.85,5.5,168.15,63.65
242,2024-05-10,18,71,R006,13,16.55,0.14,14.23,12.72,184.99,19.63
243,2024-08-13,6,98,R008,15,4.79,0.22,3.74,3.09,56.1,9.75
244,2024-04-15,44,26,R012,20,8.88,0.04,8.52,5.42,170.4,62.0
245,2024-07-29,25,184,R007,2,10.38,0.22,8.1,7.34,16.2,1.52
246,2024-10-24,21,22,R006,20,7.75,0.17,6.43,5.48,128.6,19.0
247,2024-01-20,50,70,R002,6,11.33,0.27,8.27,6.34,49.62,11.58
248,2024-12-19,33,172,R009,5,16.43,0.07,15.28,9.57,76.4,28.55
249,2024-06-04,21,86,R016,11,7.75,0.17,6.43,5.48,70.73,10.45
250,2024-06-19,39,13,R011,18,15.28,0.1,13.75,11.88,247.5,33.66
251,2024-11-03,50,147,R008,20,11.33,0.1,10.2,6.34,204.0,77.2
252,2024-05-18,46,132,R008,9,8.74,0.29,6.21,5.37,55.89,7.56
253,2024-07-14,32,33,R013,3,6.3,0.01,6.24,4.76,18.72,4.44
254,2024-06-29,10,176,R012,6,4.27,0.2,3.42,2.93,20.52,2.94
255,2024-07-22,20,102,R004,20,13.18,0.05,12.52,7.9,250.4,92.4
256,2024-11-20,19,31,R013,3,9.36,0.01,9.27,5.52,27.81,11.25
257,2024-09-21,44,45,R012,4,8.88,0.22,6.93,5.42,27.72,6.04
258,2024-05-12,17,71,R006,11,3.35,0.16,2.81,1.84,30.91,10.67
259,2024-09-20,14,51,R015,1,7.9,0.07,7.35,6.26,7.35,1.09
260,2024-12-28,20,63,R016,12,13.18,0.07,12.26,7.9,147.12,52.32
261,2024-05-15,41,104,R014,14,14.9,0.0,14.9,10.84,208.6,56.84
262,2024-12-19,15,169,R013,19,2.9,0.14,2.49,1.86,47.31,11.97
263,2024-01-27,22,124,R005,6,16.29,0.14,14.01,12.97,84.06,6.24
264,2024-11-01,28,181,R011,1,16.39,0.1,14.75,9.54,14.75,5.21
265,2024-09-11,22,54,R009,9,16.29,0.01,16.13,12.97,145.17,28.44
266,2024-03-13,36,188,R012,13,18.75,0.03,18.19,11.03,236.47,93.08
267,2024-05-24,34,34,R011,12,15.16,0.04,14.55,9.38,174.6,62.04
268,2024-12-09,18,55,R014,10,16.55,0.08,15.23,12.72,152.3,25.1
269,2024-12-24,4,57,R006,10,5.3,0.17,4.4,2.71,44.0,16.9
270,2024-04-06,2,196,R006,5,9.72,0.05,9.23,5.5,46.15,18.65
271,2024-04-11,27,43,R004,10,13.96,0.1,12.56,9.51,125.6,30.5
272,2024-11-12,43,130,R002,4,8.28,0.29,5.88,6.51,23.52,-2.52
273,2024-03-17,4,136,R010,9,5.3,0.15,4.5,2.71,40.5,16.11
274,2024-03-11,36,162,R006,19,18.75,0.13,16.31,11.03,309.89,100.32
275,2024-09-21,5,176,R012,12,11.96,0.15,10.17,9.07,122.04,13.2
276,2024-12-24,8,186,R003,11,9.38,0.23,7.22,6.29,79.42,10.23
277,2024-11-13,12,170,R008,15,19.54,0.1,17.59,10.1,263.85,112.35
278,2024-04-16,46,135,R015,2,8.74,0.21,6.9,5.37,13.8,3.06
279,2024-12-02,35,92,R002,15,2.26,0.28,1.63,1.21,24.45,6.3
280,2024-07-05,40,157,R011,8,8.53,0.23,6.57,6.25,52.56,2.56
281,2024-11-17,24,176,R012,20,13.61,0.02,13.34,9.85,266.8,69.8
282,2024-07-20,42,42,R014,17,9.32,0.14,8.02,4.77,136.34,55.25
283,2024-07-14,25,149,R008,11,10.38,0.13,9.03,7.34,99.33,18.59
284,2024-02-14,45,94,R004,11,18.5,0.28,13.32,14.7,146.52,-15.18
285,2024-09-20,31,55,R014,1,12.98,0.26,9.61,10.34,9.61,-0.73
286,2024-09-14,45,103,R001,11,18.5,0.01,18.32,14.7,201.52,39.82
287,2024-06-19,19,104,R014,1,9.36,0.14,8.05,5.52,8.05,2.53
288,2024-10-08,12,169,R013,17,19.54,0.1,17.59,10.1,299.03,127.33
289,2024-03-27,30,191,R015,5,14.28,0.12,12.57,8.79,62.85,18.9
290,2024-08-06,45,49,R002,1,18.5,0.06,17.39,14.7,17.39,2.69
291,2024-10-25,15,92,R002,11,2.9,0.21,2.29,1.86,25.19,4.73
292,2024-06-03,46,55,R014,11,8.74,0.19,7.08,5.37,77.88,18.81
293,2024-12-11,25,120,R011,5,10.38,0.13,9.03,7.34,45.15,8.45
294,2024-12-15,49,185,R008,3,9.33,0.15,7.93,6.59,23.79,4.02
295,2024-01-14,22,95,R004,3,16.29,0.18,13.36,12.97,40.08,1.17
296,2024-08-04,49,95,R004,2,9.33,0.28,6.72,6.59,13.44,0.26
297,2024-11-23,12,17,R007,13,19.54,0.16,16.41,10.1,213.33,82.03
298,2024-08-18,24,96,R008,3,13.61,0.02,13.34,9.85,40.02,10.47
299,2024-03-27,30,100,R013,8,14.28,0.24,10.85,8.79,86.8,16.48
300,2024-12-21,36,39,R009,14,18.75,0.28,13.5,11.03,189.0,34.58
301,2024-10-20,21,164,R012,19,7.75,0.14,6.66,5.48,126.54,22.42
302,2024-04-03,15,157,R011,14,2.9,0.24,2.2,1.86,30.8,4.76
303,2024-08-20,11,10,R014,3,7.57,0.01,7.49,4.11,22.47,10.14
304,2024-01-21,23,65,R004,6,1.94,0.14,1.67,1.53,10.02,0.84
305,2024-03-16,32,67,R002,6,6.3,0.16,5.29,4.76,31.74,3.18
306,2024-03-02,17,46,R011,17,3.35,0.3,2.34,1.84,39.78,8.5
307,2024-02-28,15,175,R007,11,2.9,0.04,2.78,1.86,30.58,10.12
308,2024-06-05,26,194,R010,9,18.13,0.27,13.23,9.53,119.07,33.3
309,2024-09-28,18,192,R009,11,16.55,0.15,14.07,12.72,154.77,14.85
310,2024-09-29,6,75,R013,16,4.79,0.26,3.54,3.09,56.64,7.2
311,2024-06-14,10,155,R010,3,4.27,0.13,3.71,2.93,11.13,2.34
312,2024-06-22,43,69,R001,3,8.28,0.14,7.12,6.51,21.36,1.83
313,2024-11-30,22,10,R014,15,16.29,0.12,14.34,12.97,215.1,20.55
314,2024-03-16,11,133,R013,13,7.57,0.28,5.45,4.11,70.85,17.42
315,2024-10-09,10,114,R008,13,4.27,0.02,4.18,2.93,54.34,16.25
316,2024-07-15,44,173,R016,15,8.88,0.2,7.1,5.42,106.5,25.2
317,2024-08-13,46,178,R009,15,8.74,0.13,7.6,5.37,114.0,33.45
318,2024-04-16,11,121,R001,9,7.57,0.18,6.21,4.11,55.89,18.9
319,2024-01-05,38,125,R015,20,19.39,0.03,18.81,15.47,376.2,66.8
320,2024-06-27,28,145,R008,1,16.39,0.11,14.59,9.54,14.59,5.05
321,2024-12-25,26,54,R009,13,18.13,0.04,17.4,9.53,226.2,102.31
322,2024-08-19,8,156,R016,6,9.38,0.25,7.04,6.29,42.24,4.5
323,2024-03-02,26,188,R012,19,18.13,0.06,17.04,9.53,323.76,142.69
324,2024-06-30,46,195,R004,8,8.74,0.17,7.25,5.37,58.0,15.04
325,2024-02-29,3,198,R008,7,19.65,0.23,15.13,12.76,105.91,16.59
326,2024-11-04,33,91,R008,12,16.43,0.25,12.32,9.57,147.84,33.0
327,2024-05-04,38,148,R003,6,19.39,0.0,19.39,15.47,116.34,23.52
328,2024-01-24,16,2,R010,15,3.2,0.01,3.17,2.13,47.55,15.6
329,2024-07-22,11,155,R010,10,7.57,0.13,6.59,4.11,65.9,24.8
330,2024-11-09,26,169,R013,11,18.13,0.28,13.05,9.53,143.55,38.72
